11,XYZ Inc,500000,2,476
12,Acme Co,7500000,7,3987
13,Jones Enterprises,250000,3,123
14,Smith & Sons,1500000,1,562
15,Big Sky Corporation,4000000,6,786
16,Globe LLC,800000,5,98
17,Green World Industries,300000,4,283
18,Tech Solutions,2000000,3,1789
19,Global Innovations,100000,1,49
20,Future Enterprises,5000000,7,2465
21,Infinite Possibilities,150000,2,87
22,Alpha Omega Inc,1200000,6,903
23,Omega Corp,3000000,4,1872
24,Precision Engineering,900000,3,436
25,Western Industries,750000,2,329
26,Data Management Solutions,10000000,1,4345
27,Blackstone Group,50000000,7,4998
28,Express Logistics,200000,5,129
29,Orange Grove Farms,2500000,4,1291
30,Neon Inc,1750000,3,1076
31,Red Rock Enterprises,8000000,2,3983
32,Rainbow Corporation,100000,1,14
33,Quantum Technologies,400000,6,107
34,United Properties,20000000,5,4379
35,Nationwide Services,1000000,4,254
36,Green Energy Solutions,500000,3,213
37,Galaxy Corporation,3000000,2,3254
38,A to Z Services,700000,1,232
39,Big Apple Industries,1500000,7,1456
40,Peak Performance,800000,4,873
41,Peak Technologies,2000000,3,1942
42,Bayside Enterprises,250000,2,153
43,Neighborhood Services,400000,1,127
44,Oceanfront Realty,5000000,7,3582
45,Global Finance Group,50000000,6,4899
46,National Network Services,100000,4,27
47,Universal Technologies,1500000,3,1276
48,ABC Corp,1000000,4,234
